module_id,module_name,module_role,source_library,source_term,source_version,source_gene_n,source_file,sha256,file_size_bytes,retrieval_date,retrieval_endpoint,frozen_before_outcome_inspection,primary_test,descriptive_score,mapping_key
ENDOTHELIAL_ACTIVATION,endothelial activation,process activity proxy,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),2026,70,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
ANGIOGENESIS,angiogenesis,biological process,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),2026,127,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
VASCULAR_REMODELING,venous/vascular remodeling,biological process,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),2026,6,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
PERICYTE,pericyte,cell-identity marker module,PanglaoDB_Augmented_2021,Pericytes,2021,155,PanglaoDB_Augmented_2021.gmt,aa104e6a0c2b826fc93d8478ab8af7625dcbd5f10f87bed28a9c0a1f992632fe,153173,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=PanglaoDB_Augmented_2021,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
VASCULAR_SMOOTH_MUSCLE,vascular smooth muscle,cell-identity marker module,PanglaoDB_Augmented_2021,Vascular Smooth Muscle Cells,2021,103,PanglaoDB_Augmented_2021.gmt,aa104e6a0c2b826fc93d8478ab8af7625dcbd5f10f87bed28a9c0a1f992632fe,153173,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=PanglaoDB_Augmented_2021,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
FIBROBLAST_ACTIVATION,fibroblast activation,process activity proxy,GO_Biological_Process_2026,Positive Regulation of Fibroblast Proliferation (GO:0048146),2026,29,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
EXTRACELLULAR_MATRIX_ORGANIZATION,extracellular matrix organization,biological process,GO_Biological_Process_2026,Extracellular Matrix Organization (GO:0030198),2026,192,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
COLLAGEN_ORGANIZATION,collagen organization,biological process,GO_Biological_Process_2026,Collagen Fibril Organization (GO:0030199),2026,54,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
FOCAL_ADHESION,focal adhesion,pathway,KEGG_2026,FOCAL ADHESION,2026,199,KEGG_2026.gmt,ff014e36320a8e4e09962f81ee7a720fb0001d3c349d021c118766b69fd78139,225899,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=KEGG_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
MECHANOTRANSDUCTION,mechanotransduction,mechanical-response proxy,GO_Biological_Process_2026,Cellular Response to Mechanical Stimulus (GO:0071260),2026,54,GO_Biological_Process_2026.gmt,93de35589130a5f4f1571764ec86e209d0f46d53d0ebdf5de5c7d869dd7046da,1461396,2026-07-16,https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=GO_Biological_Process_2026,YES,limma::camera with inter-gene correlation,mean patient-level z-score of available voom logCPM genes,gene_symbol for GMT membership; Ensembl gene ID remains analysis key
